Date,Network
2015-11-06,7.370001603213363e-06
2015-11-09,-0.01004113259084208
2015-11-10,0.002207353021468937
2015-11-11,-0.0059062669213619376
2015-11-12,-0.017261026067209365
2015-11-13,-0.008126759541470215
2015-11-16,0.013056756368962315
2015-11-17,-0.0016630672036983278
2015-11-18,0.015811289020267447
2015-11-19,-0.0012124669603509914
2015-11-20,0.003438283895039015
2015-11-23,0.001436801496668834
2015-11-24,0.0035687806553169233
2015-11-25,0.0025043071565670223
2015-11-27,0.0015964275294385723
2015-11-30,-0.00386021926862753
2015-12-01,0.008069804752340507
2015-12-02,-0.012015265269622002
2015-12-03,-0.015371254648842097
2015-12-04,0.01420528352337178
2015-12-07,0.009745540336441363
2015-12-08,0.00707291598336343
2015-12-09,-0.0035125515456603455
2015-12-10,-0.005787346412737235
2015-12-11,-0.01004829464892935
2015-12-14,-0.0056704930437714175
2015-12-15,0.015275679101696629
2015-12-16,0.006498470561512991
2015-12-17,-0.01384296956811981
2015-12-18,-0.019858047750699753
2015-12-21,0.01056272996825851
2015-12-22,-0.003186885137831731
2015-12-23,-0.002044130530218998
2015-12-24,0.0014859467825928372
2015-12-28,-0.012333990851221466
2015-12-29,0.003983427808015696
2015-12-30,-0.0002942211317803825
2015-12-31,-0.00327431000688598
2016-01-04,-0.017290810989373132
2016-01-05,0.004249426462966862
2016-01-06,-0.011598913398822464
2016-01-07,-0.02455695082411031
2016-01-08,-0.012176317680680657
2016-01-11,0.010031397351613791
2016-01-12,-0.0013519848432476328
2016-01-13,-0.012251047488838485
2016-01-14,0.010512783875681912
2016-01-15,-0.03783524325315112
2016-01-19,0.014376260468649852
2016-01-20,-0.017254114669466587
2016-01-21,0.014043998772010303
2016-01-22,0.02392605791358089
2016-01-25,-0.006766637278161467
2016-01-26,0.01749865666390873
2016-01-27,-0.025982172051531402
2016-01-28,0.00013440115946820365
2016-01-29,0.028618786461898967
2016-02-01,0.010126076346492865
2016-02-02,-0.006165795256121536
2016-02-03,0.018648757263869623
2016-02-04,-0.0034752998685234496
2016-02-05,-0.012226435124401797
2016-02-08,0.011489333467558939
