Ticker,Name,Sector,Industry
WBA,Walgreens Boots Alliance Inc.,Retail/Wholesale,Drug Retail
WBC,WABCO Holdings Inc.,Automotive,Motor Vehicle Parts
WBS,Webster Financial Corp.,Financial Services,Banking
WCC,Wesco International Inc.,Industrial Goods,Industrial Electronics
WDAY,Workday Inc. Cl A,Technology,Software
WDC,Western Digital Corp.,Technology,Computers/Consumer Electronics
WEC,WEC Energy Group Inc.,Companies on the Energy Service,Multiutilities
WELL,Welltower Inc.,Real Estate/Construction,Healthcare REITs
WEN,Wendy's Co.,Leisure/Arts/Hospitality,Restaurants
WEX,WEX Inc.,Financial Services,Consumer Finance
WFC,Wells Fargo & Co.,Financial Services,Banking
WH,Wyndham Hotels & Resorts Inc.,Leisure/Arts/Hospitality,Hotels
WHR,Whirlpool Corp.,Consumer Goods,Housewares
WLK,Westlake Chemical Corp.,Basic Materials/Resources,Chemicals
WLTW,Willis Towers Watson PLC,Financial Services,Insurance Brokering
WM,Waste Management Inc.,Business/Consumer Services,Environment/Waste Management
WMB,Williams Cos.,Companies on the Energy Service,Pipeline Transportation
WMT,Walmart Inc.,Retail/Wholesale,Mixed Retailing
WPC,W. P. Carey Inc.,Real Estate/Construction,Industrial/Office REITs
WPX,WPX Energy Inc.,Companies on the Energy Service,Oil Extraction
WRB,W.R. Berkley Corp.,Financial Services,Non-Life Insurance
WRI,Weingarten Realty Investors,Real Estate/Construction,Retail REITs
WRK,WestRock Co.,Industrial Goods,Containers/Packaging
WSM,Williams-Sonoma Inc.,Retail/Wholesale,Home Goods Retail
WSO,Watsco Inc.,Real Estate/Construction,Building Materials/Products
WST,West Pharmaceutical Services Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
WTFC,Wintrust Financial Corp.,Financial Services,Banking
WTM,White Mountains Insurance Group Ltd.,Financial Services,Non-Life Insurance
WU,Western Union Co.,Financial Services,Banking
WWD,Woodward Inc.,Industrial Goods,Aerospace Products/Parts
WWE,World Wrestling Entertainment Inc. Cl A,Leisure/Arts/Hospitality,Recreational Services
WY,Weyerhaeuser Co.,Real Estate/Construction,Specialty REITs
WYND,Wyndham Destinations Inc.,Leisure/Arts/Hospitality,Hotels
WYNN,Wynn Resorts Ltd.,Leisure/Arts/Hospitality,Gambling Industries
X,United States Steel Corp.,Basic Materials/Resources,Iron/Steel
XEC,Cimarex Energy Co.,Companies on the Energy Service,Oil Extraction
XEL,Xcel Energy Inc.,Companies on the Energy Service,Electric Utilities
XLNX,Xilinx Inc.,Technology,Semiconductors
XOM,Exxon Mobil Corp.,Companies on the Energy Service,Major Oil & Gas
XPO,XPO Logistics Inc.,Transportation/Logistics,Transportation Services
XRAY,Dentsply Sirona Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
XRX,Xerox Holdings Corp.,Technology,Computers/Consumer Electronics
XYL,Xylem Inc.,Industrial Goods,Industrial Machinery
Y,Alleghany Corp.,Financial Services,Non-Life Insurance
YUM,Yum! Brands Inc.,Leisure/Arts/Hospitality,Restaurants
YUMC,Yum China Holdings Inc.,Leisure/Arts/Hospitality,Restaurants
Z,Zillow Group Inc. Cl C,Real Estate/Construction,Real Estate Developers
ZAYO,Zayo Group Holdings Inc.,Technology,Networking
ZBH,Zimmer Biomet Holdings Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
ZBRA,Zebra Technologies Corp. Cl A,Industrial Goods,Industrial Electronics
ZEN,Zendesk Inc.,Technology,Software
ZG,Zillow Group Inc. Cl A,Real Estate/Construction,Real Estate Developers
ZION,Zions Bancorp N.A.,Financial Services,Banking
ZNGA,Zynga Inc. Cl A,Consumer Goods,Toys & Games
ZS,Zscaler Inc.,Technology,Internet/Online
ZTS,Zoetis Inc.,Health Care/Life Sciences,Pharmaceuticals
