Ticker,Name,Sector,Industry
NAVI,Navient Corp.,Financial Services,Consumer Finance
NBIX,Neurocrine Biosciences Inc.,Health Care/Life Sciences,Biotechnology
NBL,Noble Energy Inc.,Companies on the Energy Service,Oil Extraction
NCLH,Norwegian Cruise Line Holdings Ltd.,Leisure/Arts/Hospitality,Tourism
NCR,NCR Corp.,Technology,Computers/Consumer Electronics
NDAQ,Nasdaq Inc.,Financial Services,Securities
NDSN,Nordson Corp.,Industrial Goods,Industrial Products
NEE,NextEra Energy Inc.,Companies on the Energy Service,Electric Utilities
NEM,Newmont Corp.,Basic Materials/Resources,Gold
NEU,NewMarket Corp.,Basic Materials/Resources,Chemicals
NEWR,New Relic Inc.,Technology,Software
NFG,National Fuel Gas Co.,Companies on the Energy Service,Gas Utilities
NFLX,Netflix Inc.,Media/Entertainment,Broadcasting
NI,NiSource Inc.,Companies on the Energy Service,Gas Utilities
NKE,Nike Inc. Cl B,Consumer Goods,Footwear
NKTR,Nektar Therapeutics,Health Care/Life Sciences,Biotechnology
NLOK,NortonLifeLock Inc.,Technology,Software
NLSN,Nielsen Holdings PLC,Business/Consumer Services,Advertising/Marketing/Public Relations
NLY,Annaly Capital Management Inc.,Real Estate/Construction,Mortgage REITs
NNN,National Retail Properties Inc.,Real Estate/Construction,Retail REITs
NOC,Northrop Grumman Corp.,Industrial Goods,Defense Equipment/Products
NOV,National Oilwell Varco Inc.,Companies on the Energy Service,Oil & Gas Products/Services
NOW,ServiceNow Inc.,Technology,Software
NRG,NRG Energy Inc.,Companies on the Energy Service,Multiutilities
NRZ,New Residential Investment Corp.,Real Estate/Construction,Mortgage REITs
NSC,Norfolk Southern Corp.,Transportation/Logistics,Railroads
NTAP,NetApp Inc.,Technology,Computers/Consumer Electronics
NTNX,Nutanix Inc. Cl A,Technology,Software
NTRS,Northern Trust Corp.,Financial Services,Investment Advisors
NUAN,Nuance Communications Inc.,Technology,Software
NUE,Nucor Corp.,Basic Materials/Resources,Iron/Steel
NUS,Nu Skin Enterprises Inc. Cl A,Consumer Goods,Personal Care Products/Appliances
NVDA,NVIDIA Corp.,Technology,Semiconductors
NVR,NVR Inc.,Real Estate/Construction,Residential Building Construction
NVST,Envista Holdings Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
NVT,nVent Electric PLC,Industrial Goods,Precision Products
NWL,Newell Brands Inc.,Consumer Goods,Housewares
NWS,News Corp Cl B,Media/Entertainment,Publishing
NWSA,News Corp Cl A,Media/Entertainment,Publishing
NXST,Nexstar Media Group Inc. Cl A,Media/Entertainment,Broadcasting
NYCB,New York Community Bancorp Inc.,Financial Services,Banking
NYT,New York Times Co. Cl A,Media/Entertainment,Publishing
O,Realty Income Corp.,Real Estate/Construction,Retail REITs
OC,Owens Corning,Real Estate/Construction,Building Materials/Products
ODFL,Old Dominion Freight Line Inc.,Transportation/Logistics,Trucking
OFC,Corporate Office Properties Trust,Real Estate/Construction,Industrial/Office REITs
OGE,OGE Energy Corp.,Companies on the Energy Service,Electric Utilities
OHI,Omega Healthcare Investors Inc.,Real Estate/Construction,Healthcare REITs
OI,O-I Glass Inc.,Industrial Goods,Containers/Packaging
OKE,ONEOK Inc.,Companies on the Energy Service,Gas Utilities
OKTA,Okta Inc. Cl A,Technology,Internet/Online
OLED,Universal Display Corp.,Consumer Goods,Audio/Video Equipment
OLLI,Ollie's Bargain Outlet Holdings Inc.,Retail/Wholesale,Mixed Retailing
OLN,Olin Corp.,Basic Materials/Resources,Chemicals
OMC,Omnicom Group Inc.,Business/Consumer Services,Advertising/Marketing/Public Relations
OMF,OneMain Holdings Inc.,Financial Services,Consumer Finance
ON,ON Semiconductor Corp.,Technology,Semiconductors
ORCL,Oracle Corp.,Technology,Software
ORI,Old Republic International Corp.,Financial Services,Non-Life Insurance
ORLY,O'Reilly Automotive Inc.,Retail/Wholesale,Specialty Retail
OSK,Oshkosh Corp.,Automotive,Commercial Vehicles
OUT,Outfront Media Inc.,Business/Consumer Services,Advertising/Marketing/Public Relations
OXY,Occidental Petroleum Corp.,Companies on the Energy Service,Oil Extraction
OZK,Bank OZK,Financial Services,Banking
PACW,PacWest Bancorp,Financial Services,Banking
PAG,Penske Automotive Group Inc.,Retail/Wholesale,Specialty Retail
PANW,Palo Alto Networks Inc.,Technology,Software
PAYC,Paycom Software Inc.,Technology,Internet/Online
PAYX,Paychex Inc.,Business/Consumer Services,Accounting
PB,Prosperity Bancshares Inc.,Financial Services,Banking
PBCT,People's United Financial Inc.,Financial Services,Banking
PBF,PBF Energy Inc.,Companies on the Energy Service,Oil & Gas Products/Services
PCAR,Paccar Inc.,Automotive,Commercial Vehicles
PCG,PG&E Corp.,Companies on the Energy Service,Electric Utilities
PCTY,Paylocity Holding Corp.,Technology,Internet/Online
PD,PagerDuty Inc.,Technology,Internet/Online
PE,Parsley Energy Inc. Cl A,Companies on the Energy Service,Oil Extraction
PEAK,Healthpeak Properties Inc.,Real Estate/Construction,Healthcare REITs
PEG,Public Service Enterprise Group Inc.,Companies on the Energy Service,Multiutilities
PEGA,Pegasystems Inc.,Technology,Software
PEN,Penumbra Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
PEP,PepsiCo Inc.,Consumer Goods,Non-Alcoholic Beverages/Drinks
PFE,Pfizer Inc.,Health Care/Life Sciences,Pharmaceuticals
PFG,Principal Financial Group Inc.,Financial Services,Life Insurance
PFPT,Proofpoint Inc.,Technology,Software
PG,Procter & Gamble Co.,Consumer Goods,Personal Care Products/Appliances
PGR,Progressive Corp.,Financial Services,Non-Life Insurance
PGRE,Paramount Group Inc.,Real Estate/Construction,Industrial/Office REITs
PH,Parker Hannifin Corp.,Industrial Goods,Industrial Machinery
PHM,PulteGroup Inc.,Real Estate/Construction,Residential Building Construction
PII,Polaris Inc.,Automotive,Automobiles
PINC,Premier Inc.,Health Care/Life Sciences,Healthcare Provision
PK,Park Hotels & Resorts Inc.,Leisure/Arts/Hospitality,Hotels
PKG,Packaging Corp. of America,Industrial Goods,Containers/Packaging
PKI,PerkinElmer Inc.,Industrial Goods,Precision Products
PLAN,Anaplan Inc.,Technology,Internet/Online
PLD,Prologis Inc.,Real Estate/Construction,Industrial/Office REITs
PLNT,Planet Fitness Inc. Cl A,Leisure/Arts/Hospitality,Recreational Services
PM,Philip Morris International Inc.,Consumer Goods,Tobacco
PNC,PNC Financial Services Group Inc.,Financial Services,Banking
PNFP,Pinnacle Financial Partners Inc.,Financial Services,Banking
PNR,Pentair PLC,Industrial Goods,Industrial Machinery
PNW,Pinnacle West Capital Corp.,Companies on the Energy Service,Electric Utilities
PODD,Insulet Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
POOL,Pool Corp.,Consumer Goods,Sports Goods
POST,Post Holdings Inc.,Consumer Goods,Food Products
PPC,Pilgrim's Pride Corp.,Consumer Goods,Food Products
PPG,PPG Industries Inc.,Real Estate/Construction,Building Materials/Products
PPL,PPL Corp.,Companies on the Energy Service,Electric Utilities
PRAH,PRA Health Sciences Inc.,Health Care/Life Sciences,Healthcare Provision
PRGO,Perrigo Co. PLC,Health Care/Life Sciences,Pharmaceuticals
PRI,Primerica Inc.,Financial Services,Life Insurance
PRU,Prudential Financial Inc.,Financial Services,Life Insurance
PS,Pluralsight Inc. Cl A,Technology,Software
PSA,Public Storage,Real Estate/Construction,Specialty REITs
PSTG,Pure Storage Inc. Cl A,Technology,Computers/Consumer Electronics
PSX,Phillips 66,Companies on the Energy Service,Pipeline Transportation
PTC,PTC Inc.,Technology,Software
PTEN,Patterson-UTI Energy Inc.,Companies on the Energy Service,Oil & Gas Products/Services
PVH,PVH Corp.,Consumer Goods,Clothing
PWR,Quanta Services Inc.,Real Estate/Construction,Construction
PXD,Pioneer Natural Resources Co.,Companies on the Energy Service,Oil Extraction
PYPL,PayPal Holdings Inc.,Financial Services,Consumer Finance
QCOM,Qualcomm Inc.,Technology,Semiconductors
QGEN,Qiagen N.V.,Health Care/Life Sciences,Biotechnology
QRTEA,Qurate Retail Inc. Series A,Media/Entertainment,Broadcasting
QRVO,Qorvo Inc.,Technology,Semiconductors
R,Ryder System Inc.,Business/Consumer Services,General Services
RBC,Regal Beloit Corp.,Industrial Goods,Industrial Electronics
RCL,Royal Caribbean Cruises Ltd.,Leisure/Arts/Hospitality,Tourism
RE,Everest Re Group Ltd.,Financial Services,Reinsurance
REG,Regency Centers Corp.,Real Estate/Construction,Retail REITs
REGN,Regeneron Pharmaceuticals Inc.,Health Care/Life Sciences,Biotechnology
REZI,Resideo Technologies Inc.,Technology,Networking
RF,Regions Financial Corp.,Financial Services,Banking
RGA,Reinsurance Group of America Inc.,Financial Services,Reinsurance
RGLD,Royal Gold Inc.,Basic Materials/Resources,Gold
RHI,Robert Half International Inc.,Business/Consumer Services,Employment/Training Services
RIG,Transocean Ltd.,Companies on the Energy Service,Oil & Gas Products/Services
RJF,Raymond James Financial Inc.,Financial Services,Investment Advisors
RL,Ralph Lauren Corp. Cl A,Consumer Goods,Clothing
RMD,ResMed Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
RNG,RingCentral Inc. Cl A,Technology,Internet/Online
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Reinsurance
ROK,Rockwell Automation Corp.,Industrial Goods,Precision Products
ROKU,Roku Inc. Cl A,Consumer Goods,Audio/Video Equipment
ROL,Rollins Inc.,Business/Consumer Services,General Services
ROP,Roper Technologies Inc.,Industrial Goods,Precision Products
ROST,Ross Stores Inc.,Retail/Wholesale,Clothing Retail
RP,RealPage Inc.,Technology,Software
RPAI,Retail Properties of America Inc.,Real Estate/Construction,Retail REITs
RPM,RPM International Inc.,Real Estate/Construction,Building Materials/Products
RRC,Range Resources Corp.,Companies on the Energy Service,Oil Extraction
RS,Reliance Steel & Aluminum Co.,Basic Materials/Resources,Iron/Steel
RSG,Republic Services Inc.,Business/Consumer Services,Environment/Waste Management
RTN,Raytheon Co.,Industrial Goods,Defense Equipment/Products
RYN,Rayonier Inc.,Real Estate/Construction,Specialty REITs
S,Sprint Corp.,Telecommunication Services,Wireless Telecommunications Services
SABR,Sabre Corp.,Technology,Software
SAGE,Sage Therapeutics Inc.,Health Care/Life Sciences,Pharmaceuticals
SATS,EchoStar Corp.,Consumer Goods,Audio/Video Equipment
SBAC,SBA Communications Corp.,Real Estate/Construction,Specialty REITs
SBGI,Sinclair Broadcast Group Inc. Cl A,Media/Entertainment,Broadcasting
SBNY,Signature Bank,Financial Services,Banking
SBUX,Starbucks Corp.,Leisure/Arts/Hospitality,Restaurants
SC,Santander Consumer USA Holdings Inc.,Financial Services,Consumer Finance
SCCO,Southern Copper Corp.,Basic Materials/Resources,Non-Ferrous Metals
SCHW,Charles Schwab Corp.,Financial Services,Securities
SCI,Service Corp. International,Business/Consumer Services,Consumer Services
SEB,Seaboard Corp.,Consumer Goods,Food Products
SEE,Sealed Air Corp.,Industrial Goods,Containers/Packaging
SEIC,SEI Investments Co.,Financial Services,Investment Advisors
SERV,ServiceMaster Global Holdings Inc.,Business/Consumer Services,General Services
SFM,Sprouts Farmers Market Inc.,Retail/Wholesale,Food Retail
SGEN,Seattle Genetics Inc.,Health Care/Life Sciences,Biotechnology
SHW,Sherwin-Williams Co.,Retail/Wholesale,Home Goods Retail
SIRI,Sirius XM Holdings Inc.,Media/Entertainment,Broadcasting
SITC,SITE Centers Corp.,Real Estate/Construction,Retail REITs
SIVB,SVB Financial Group,Financial Services,Banking
SIX,Six Flags Entertainment Corp.,Leisure/Arts/Hospitality,Recreational Services
SJM,J.M. Smucker Co.,Consumer Goods,Food Products
SKX,Skechers USA Inc. Cl A,Consumer Goods,Footwear
SLB,Schlumberger Ltd.,Companies on the Energy Service,Oil & Gas Products/Services
SLG,SL Green Realty Corp.,Real Estate/Construction,Industrial/Office REITs
SLGN,Silgan Holdings Inc.,Industrial Goods,Containers/Packaging
SLM,SLM Corp.,Financial Services,Consumer Finance
SMAR,Smartsheet Inc.,Technology,Internet/Online
SMG,Scotts Miracle-Gro Co.,Basic Materials/Resources,Chemicals
SNA,Snap-On Inc.,Consumer Goods,Housewares
SNDR,Schneider National Inc. Cl B,Transportation/Logistics,Trucking
SNPS,Synopsys Inc.,Technology,Software
SNV,Synovus Financial Corp.,Financial Services,Banking
SNX,SYNNEX Corp.,Technology,Computers/Consumer Electronics
SO,Southern Co.,Companies on the Energy Service,Electric Utilities
SON,Sonoco Products Co.,Industrial Goods,Containers/Packaging
SPB,Spectrum Brands Holdings Inc.,Business/Consumer Services,Diversified Holding Companies
SPG,Simon Property Group Inc.,Real Estate/Construction,Retail REITs
SPGI,S&P Global Inc.,Financial Services,Investment Advisors
SPLK,Splunk Inc.,Technology,Software
SPOT,Spotify Technology S.A.,N/A,N/A
SPR,Spirit AeroSystems Holdings Inc. Cl A,Industrial Goods,Aerospace Products/Parts
SQ,Square Inc. Cl A,Technology,Computers/Consumer Electronics
SRC,Spirit Realty Capital Inc.,Real Estate/Construction,Retail REITs
SRCL,Stericycle Inc.,Business/Consumer Services,Environment/Waste Management
SRE,Sempra Energy,Companies on the Energy Service,Multiutilities
SRPT,Sarepta Therapeutics Inc.,Health Care/Life Sciences,Biotechnology
SSNC,SS&C Technologies Holdings Inc.,Technology,Software
ST,Sensata Technologies Holding PLC,Industrial Goods,Precision Products
STAY,Extended Stay America Inc.,Leisure/Arts/Hospitality,Hotels
STE,Steris PLC,Health Care/Life Sciences,Medical Equipment/Supplies
STL,Sterling Bancorp,Financial Services,Banking
STLD,Steel Dynamics Inc.,Basic Materials/Resources,Iron/Steel
STOR,STORE Capital Corp.,Real Estate/Construction,Retail REITs
STT,State Street Corp.,Financial Services,Investment Advisors
STWD,Starwood Property Trust Inc.,Real Estate/Construction,Mortgage REITs
STZ,Constellation Brands Inc. Cl A,Consumer Goods,Alcoholic Beverages/Drinks
SUI,Sun Communities Inc.,Real Estate/Construction,Residential REITs
SVC,Service Properties Trust,Real Estate/Construction,Hotel/Lodging REITs
SWCH,Switch Inc. Cl A,Business/Consumer Services,Computer Services
SWI,SolarWinds Corp.,Technology,Software
SWK,Stanley Black & Decker Inc.,Consumer Goods,Housewares
SWKS,Skyworks Solutions Inc.,Technology,Semiconductors
SYF,Synchrony Financial,Financial Services,Consumer Finance
SYK,Stryker Corp.,Health Care/Life Sciences,Medical Equipment/Supplies
SYY,Sysco Corp.,Retail/Wholesale,Food Retail
T,AT&T Inc.,Telecommunication Services,Wireless Telecommunications Services
TAP,Molson Coors Beverage Co. Cl B,Consumer Goods,Alcoholic Beverages/Drinks
TCBI,Texas Capital Bancshares Inc.,Financial Services,Banking
TCF,TCF Financial Corp.,Financial Services,Banking
TCO,Taubman Centers Inc.,Real Estate/Construction,Retail REITs
TDC,Teradata Corp.,Technology,Software
TDG,TransDigm Group Inc.,Industrial Goods,Aerospace Products/Parts
TDS,Telephone & Data Systems Inc.,Telecommunication Services,Wireless Telecommunications Services
TDY,Teledyne Technologies Inc.,Industrial Goods,Precision Products
TEAM,Atlassian Corp. PLC Cl A,N/A,N/A
TECH,Bio-Techne Corp.,Health Care/Life Sciences,Biotechnology
TER,Teradyne Inc.,Industrial Goods,Precision Products
TFC,Truist Financial Corp.,Financial Services,Banking
TFSL,TFS Financial Corp.,Financial Services,Banking
TFX,Teleflex Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
TGT,Target Corp.,Retail/Wholesale,Mixed Retailing
THG,Hanover Insurance Group Inc.,Financial Services,Non-Life Insurance
THO,Thor Industries Inc.,Automotive,Automobiles
THS,TreeHouse Foods Inc.,Consumer Goods,Food Products
TIF,Tiffany & Co.,Retail/Wholesale,Clothing Retail
TJX,TJX Cos.,Retail/Wholesale,Clothing Retail
TKR,Timken Co.,Industrial Goods,Industrial Machinery
TMO,Thermo Fisher Scientific Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
TMUS,T-Mobile US Inc.,Telecommunication Services,Wireless Telecommunications Services
TOL,Toll Brothers Inc.,Real Estate/Construction,Residential Building Construction
TPR,Tapestry Inc.,Consumer Goods,Clothing
TPX,Tempur Sealy International Inc.,Consumer Goods,Furniture
TREE,LendingTree Inc.,Financial Services,Mortgages
TRGP,Targa Resources Corp.,Companies on the Energy Service,Pipeline Transportation
TRIP,TripAdvisor Inc.,Leisure/Arts/Hospitality,Tourism
TRMB,Trimble Inc.,Industrial Goods,Precision Products
TRN,Trinity Industries Inc.,Transportation/Logistics,Railroads
TROW,T. Rowe Price Group Inc.,Financial Services,Investment Advisors
TRU,TransUnion,Financial Services,Finance Companies
TRV,Travelers Cos. Inc.,Financial Services,Non-Life Insurance
TSCO,Tractor Supply Co.,Retail/Wholesale,Specialty Retail
TSLA,Tesla Inc.,Automotive,Automobiles
TSN,Tyson Foods Inc. Cl A,Consumer Goods,Food Products
TTC,Toro Co.,Industrial Goods,Mobile Machinery
TTD,Trade Desk Inc. Cl A,Business/Consumer Services,Advertising/Marketing/Public Relations
TTWO,Take-Two Interactive Software Inc.,Consumer Goods,Toys & Games
TWLO,Twilio Inc. Cl A,Technology,Software
TWO,Two Harbors Investment Corp.,Real Estate/Construction,Mortgage REITs
TWOU,2U Inc.,Technology,Software
TWTR,Twitter Inc.,Technology,Internet/Online
TXN,Texas Instruments Inc.,Technology,Semiconductors
TXT,Textron Inc.,Industrial Goods,Aerospace Products/Parts
TYL,Tyler Technologies Inc.,Technology,Software
UA,Under Armour Inc. Cl C,Consumer Goods,Clothing
UAA,Under Armour Inc. Cl A,Consumer Goods,Clothing
UAL,United Airlines Holdings Inc.,Transportation/Logistics,Passenger Airlines
UBER,Uber Technologies Inc.,Technology,Emerging Technologies
UDR,UDR Inc.,Real Estate/Construction,Residential REITs
UFS,Domtar Corp.,Basic Materials/Resources,Paper/Pulp
UGI,UGI Corp.,Companies on the Energy Service,Gas Utilities
UHAL,Amerco,Business/Consumer Services,General Services
UHS,Universal Health Services Inc. Cl B,Health Care/Life Sciences,Healthcare Provision
UI,Ubiquiti Inc.,Technology,Networking
ULTA,Ulta Beauty Inc.,Retail/Wholesale,Specialty Retail
UMPQ,Umpqua Holdings Corp.,Financial Services,Banking
UNH,UnitedHealth Group Inc.,Financial Services,Life Insurance
UNM,Unum Group,Financial Services,Life Insurance
UNP,Union Pacific Corp.,Transportation/Logistics,Railroads
UNVR,Univar Solutions Inc.,Retail/Wholesale,Wholesalers
UPS,United Parcel Service Inc. Cl B,Transportation/Logistics,Air Freight
URBN,Urban Outfitters Inc.,Retail/Wholesale,Clothing Retail
URI,United Rentals Inc.,Business/Consumer Services,General Services
USB,U.S. Bancorp,Financial Services,Banking
USFD,US Foods Holding Corp.,Retail/Wholesale,Food Retail
USM,U.S. Cellular Corp.,Telecommunication Services,Wireless Telecommunications Services
UTHR,United Therapeutics Corp.,Health Care/Life Sciences,Biotechnology
UTX,United Technologies Corp.,Industrial Goods,Aerospace Products/Parts
V,Visa Inc. Cl A,Financial Services,Consumer Finance
VAR,Varian Medical Systems Inc.,Health Care/Life Sciences,Medical Equipment/Supplies
VEEV,Veeva Systems Inc. Cl A,Technology,Software
VER,VEREIT Inc.,Real Estate/Construction,Diversified REITs
VFC,VF Corp.,Consumer Goods,Clothing
